ir_raw,ir_ac,red_raw,bpm
63738.0,-144.4,77892.0,0.0
63751.0,-126.1,77910.0,0.0
63771.0,-101.9,77940.0,0.0
63791.0,-78.6,77966.0,0.0
63799.0,-67.8,77965.0,0.0
63793.0,-70.8,77980.0,0.0
63787.0,-73.8,77973.0,0.0
63794.0,-64.1,77978.0,0.0
63811.0,-45.2,78014.0,0.0
63841.0,-14.6,78062.0,0.0
63841.0,-14.0,78070.0,0.0
63844.0,-10.6,78069.0,0.0
63867.0,11.9,78101.0,0.0
63878.0,22.0,78127.0,0.0
63879.0,22.1,78138.0,0.0
63805.0,-49.8,78035.0,0.0
63736.0,-114.1,77931.0,0.0
63713.0,-131.6,77894.0,0.0
63725.0,-114.8,77912.0,0.0
63753.0,-83.3,77964.0,0.0
63781.0,-53.1,77994.0,0.0
63796.0,-36.6,78021.0,0.0
63802.0,-29.4,78037.0,0.0
63788.0,-41.6,78012.0,0.0
63785.0,-42.9,78007.0,0.0
63797.0,-29.6,78026.0,0.0
63810.0,-16.0,78040.0,0.0
63823.0,-2.8,78052.0,0.0
63837.0,10.7,78085.0,0.0
63859.0,31.4,78122.0,0.0
63866.0,36.9,78146.0,0.0
63883.0,51.7,78164.0,0.0
63891.0,57.3,78185.0,0.0
63834.0,0.3,78114.0,0.0
63743.0,-87.1,77953.0,0.0
63721.0,-104.7,77894.0,0.0
63743.0,-79.4,77924.0,0.0
63759.0,-60.8,77963.0,0.0
63784.0,-34.4,77994.0,0.0
63810.0,-8.1,78026.0,0.0
63808.0,-9.7,78050.0,0.0
63804.0,-13.1,78062.0,0.0
63817.0,-0.1,78074.0,0.0
63829.0,11.4,78101.0,0.0
63854.0,34.9,78136.0,0.0
63871.0,49.9,78173.0,0.0
63876.0,52.7,78183.0,0.0
63892.0,65.9,78206.0,0.0
63905.0,75.8,78221.0,0.0
63909.0,76.6,78222.0,0.0
63915.0,79.3,78230.0,0.0
63848.0,11.8,78142.0,0.0
63762.0,-71.3,77994.0,0.0
63745.0,-84.7,77957.0,0.0
63762.0,-65.0,77976.0,0.0
63779.0,-46.1,78005.0,0.0
63815.0,-9.7,78062.0,0.0
63827.0,2.2,78088.0,0.0
63807.0,-17.1,78062.0,0.0
63803.0,-20.2,78054.0,0.0
63818.0,-5.0,78074.0,0.0
63826.0,2.9,78095.0,0.0
63847.0,22.9,78123.0,0.0
63868.0,42.1,78164.0,0.0
63872.0,44.3,78170.0,0.0
63889.0,58.8,78204.0,0.0
63896.0,63.2,78216.0,0.0
63907.0,71.2,78226.0,0.0
63899.0,60.7,78222.0,0.0
63815.0,-22.4,78105.0,0.0
63749.0,-84.8,77985.0,0.0
63729.0,-100.6,77949.0,0.0
63737.0,-88.9,77965.0,0.0
63752.0,-71.0,77991.0,0.0
63769.0,-51.8,78006.0,0.0
63794.0,-25.7,78045.0,0.0
63798.0,-20.9,78058.0,0.0
63789.0,-28.7,78047.0,0.0
63793.0,-23.7,78044.0,0.0
63816.0,-0.7,78080.0,0.0
63836.0,18.6,78109.0,0.0
63847.0,28.4,78131.0,0.0
63855.0,34.9,78152.0,0.0
63870.0,47.9,78182.0,0.0
63875.0,50.8,78186.0,0.0
63890.0,63.2,78206.0,0.0
63895.0,65.5,78220.0,0.0
63840.0,10.0,78151.0,0.0
63758.0,-69.1,78011.0,0.0
63722.0,-100.9,77943.0,0.0
63722.0,-96.8,77945.0,0.0
63742.0,-73.8,77975.0,0.0
63757.0,-56.4,78000.0,0.0
63790.0,-22.5,78043.0,0.0
63795.0,-16.8,78056.0,0.0
63792.0,-19.0,78057.0,0.0
63784.0,-25.9,78050.0,0.0
63803.0,-6.6,78066.0,0.0
63816.0,6.1,78101.0,0.0
63830.0,19.3,78123.0,0.0
63840.0,28.1,78130.0,0.0
63847.0,33.7,78142.0,0.0
63857.0,42.0,78158.0,0.0
63862.0,45.1,78177.0,0.0
63869.0,50.0,78191.0,0.0
63883.0,61.5,78205.0,0.0
63879.0,55.2,78205.0,0.0
63815.0,-8.5,78122.0,0.0
63736.0,-84.0,77981.0,0.0
63711.0,-104.6,77938.0,0.0
63720.0,-91.8,77956.0,0.0
63738.0,-70.8,77982.0,0.0
63764.0,-43.1,78026.0,0.0
63788.0,-18.3,78056.0,0.0
63789.0,-16.6,78081.0,0.0
63779.0,-25.5,78074.0,0.0
63786.0,-17.8,78091.0,0.0
63813.0,8.8,78134.0,0.0
63834.0,28.6,78170.0,0.0
63840.0,33.3,78179.0,0.0
63846.0,37.7,78197.0,0.0
63866.0,55.4,78226.0,0.0
63880.0,66.6,78263.0,0.0
